phrase,total_occurrences
covid19,354
pandemic,215
health,166
coronavirus,125
amp,116
need,113
covid,102
americans,97
19,95
help,94
covid 19,93
care,90
relief,85
crisis,83
trump,80
president,80
workers,79
public,78
must,76
health care,67
communities,65
people,58
today,58
get,54
public health,54
ensure,54
families,54
act,53
administration,52
resources,52
state,52
support,52
response,51
us,51
testing,50
