,name,twitter,party,title,gender,state,district
519,Abigail Davis Spanberger,RepSpanberger,Democrat,house of representatives,F,vermont,7.0
520,Jennifer Wexton,RepWexton,Democrat,house of representatives,F,vermont,10.0
521,Kim Schrier,RepKimSchrier,Democrat,house of representatives,F,washington,8.0
522,Bryan Steil,RepBryanSteil,Republican,house of representatives,M,wisconsin,1.0
523,Carol D. Miller,RepCarolMiller,Republican,house of representatives,F,west virginia,3.0
524,Rick Scott,SenRickScott,Republican,senator,M,florida,
525,Mike Braun,SenatorBraun,Republican,senator,M,indiana,
526,Josh Hawley,SenHawleyPress,Republican,senator,M,missouri,
527,Mitt Romney,SenatorRomney,Republican,senator,M,utah,
528,Martha McSally,SenMcSallyAZ,Republican,senator,F,arizona,
529,Jared F. Golden,repgolden,Democrat,house of representatives,M,maine,2.0
530,Fred Keller,RepFredKeller,Republican,house of representatives,M,pennsylvania,12.0
531,Dan Bishop,,Republican,house of representatives,M,north carolina,9.0
532,Gregory F. Murphy,,Republican,house of representatives,M,north carolina,3.0
533,Kelly Loeffler,SenatorLoeffler,Republican,senator,F,georgia,
534,Kweisi Mfume,,Democrat,house of representatives,M,maryland,7.0
535,,,Republican,house of representatives,M,wisconsin,7.0
536,,,Republican,house of representatives,M,california,25.0
