,name,twitter,party,title,gender,state,district
265,Paul Cook,RepPaulCook,Republican,house of representatives,M,california,8.0
266,Eric Swalwell,RepSwalwell,Democrat,house of representatives,M,california,15.0
267,Julia Brownley,RepBrownley,Democrat,house of representatives,F,california,26.0
268,Tony Cárdenas,RepCardenas,Democrat,house of representatives,M,california,29.0
269,Raul Ruiz,RepRaulRuizMD,Democrat,house of representatives,M,california,36.0
270,Mark Takano,RepMarkTakano,Democrat,house of representatives,M,california,41.0
271,Alan S. Lowenthal,RepLowenthal,Democrat,house of representatives,M,california,47.0
272,Juan Vargas,RepJuanVargas,Democrat,house of representatives,M,california,51.0
273,Scott H. Peters,RepScottPeters,Democrat,house of representatives,M,california,52.0
274,Ted S. Yoho,RepTedYoho,Republican,house of representatives,M,florida,3.0
275,Lois Frankel,RepLoisFrankel,Democrat,house of representatives,F,florida,21.0
276,Doug Collins,RepDougCollins,Republican,house of representatives,M,georgia,9.0
277,Tulsi Gabbard,TulsiPress,Democrat,house of representatives,F,hawaii,2.0
278,Tammy Duckworth,SenDuckworth,Democrat,senator,F,illinois,
279,Rodney Davis,RodneyDavis,Republican,house of representatives,M,illinois,13.0
280,Cheri Bustos,RepCheri,Democrat,house of representatives,F,illinois,17.0
281,Jackie Walorski,RepWalorski,Republican,house of representatives,F,indiana,2.0
282,Susan W. Brooks,SusanWBrooks,Republican,house of representatives,F,indiana,5.0
283,Andy Barr,RepAndyBarr,Republican,house of representatives,M,kentucky,6.0
284,Elizabeth Warren,SenWarren,Democrat,senator,F,massachusetts,
285,Joseph P. Kennedy III,RepJoeKennedy,Democrat,house of representatives,M,massachusetts,4.0
286,"Angus S. King, Jr.",SenAngusKing,Independent,senator,M,maine,
287,Daniel T. Kildee,RepDanKildee,Democrat,house of representatives,M,michigan,5.0
288,Ann Wagner,RepAnnWagner,Republican,house of representatives,F,missouri,2.0
289,Steve Daines,SteveDaines,Republican,senator,M,montana,
290,Richard Hudson,RepRichHudson,Republican,house of representatives,M,north carolina,8.0
291,George Holding,RepHolding,Republican,house of representatives,M,north carolina,2.0
292,Kevin Cramer,SenKevinCramer,Republican,senator,M,north dakota,
293,Deb Fischer,SenatorFischer,Republican,senator,F,nebraska,
294,Ann M. Kuster,RepAnnieKuster,Democrat,house of representatives,F,new hampshire,2.0
295,Grace Meng,RepGraceMeng,Democrat,house of representatives,F,new york,6.0
296,Hakeem S. Jeffries,RepJeffries,Democrat,house of representatives,M,new york,8.0
297,Sean Patrick Maloney,RepSeanMaloney,Democrat,house of representatives,M,new york,18.0
298,Brad R. Wenstrup,RepBradWenstrup,Republican,house of representatives,M,ohio,2.0
299,Joyce Beatty,RepBeatty,Democrat,house of representatives,F,ohio,3.0
300,David P. Joyce,RepDaveJoyce,Republican,house of representatives,M,ohio,14.0
301,Markwayne Mullin,RepMullin,Republican,house of representatives,M,oklahoma,2.0
302,Scott Perry,RepScottPerry,Republican,house of representatives,M,pennsylvania,10.0
303,Matt Cartwright,RepCartwright,Democrat,house of representatives,M,pennsylvania,8.0
304,Tom Rice,RepTomRice,Republican,house of representatives,M,south carolina,7.0
305,Ted Cruz,SenTedCruz,Republican,senator,M,texas,
306,"Randy K. Weber, Sr.",TXRandy14,Republican,house of representatives,M,texas,14.0
307,Joaquin Castro,JoaquinCastrotx,Democrat,house of representatives,M,texas,20.0
308,Roger Williams,RepRWilliams,Republican,house of representatives,M,texas,25.0
309,Marc A. Veasey,RepVeasey,Democrat,house of representatives,M,texas,33.0
310,Filemon Vela,RepFilemonVela,Democrat,house of representatives,M,texas,34.0
311,Chris Stewart,RepChrisStewart,Republican,house of representatives,M,utah,2.0
312,Tim Kaine,,Democrat,senator,M,vermont,
313,Derek Kilmer,RepDerekKilmer,Democrat,house of representatives,M,washington,6.0
314,Denny Heck,RepDennyHeck,Democrat,house of representatives,M,washington,10.0
315,Mark Pocan,RepMarkPocan,Democrat,house of representatives,M,wisconsin,2.0
316,Robin L. Kelly,RepRobinKelly,Democrat,house of representatives,F,illinois,2.0
317,Jason Smith,RepJasonSmith,Republican,house of representatives,M,missouri,8.0
318,Cory A. Booker,SenBooker,Democrat,senator,M,new jersey,
319,Katherine M. Clark,RepKClark,Democrat,house of representatives,F,massachusetts,5.0
320,Bradley Byrne,RepByrne,Republican,house of representatives,M,alabama,1.0
321,Donald Norcross,DonaldNorcross,Democrat,house of representatives,M,new jersey,1.0
322,Alma S. Adams,RepAdams,Democrat,house of representatives,F,north carolina,12.0
323,Gary J. Palmer,USRepGaryPalmer,Republican,house of representatives,M,alabama,6.0
