,Loss
0,0.6152153015136719
1,0.44964805245399475
2,0.5730732679367065
3,0.6608608365058899
4,0.5717874765396118
5,0.443626344203949
6,0.5448957085609436
7,0.6304671168327332
8,0.4977704584598541
9,0.5944933295249939
10,0.5780972242355347
11,0.5979831218719482
12,0.4639260172843933
13,0.7422226667404175
14,0.5121729969978333
15,0.4710291922092438
16,0.4448891580104828
17,0.5968945622444153
18,0.6496381163597107
19,0.4998859465122223
20,0.43243876099586487
21,0.497300386428833
22,0.47499099373817444
23,0.4735806882381439
24,0.39247897267341614
25,0.4186796545982361
26,0.6737151741981506
27,0.5626947283744812
28,0.7984710335731506
29,0.3721057176589966
30,0.5875968933105469
31,0.5069916248321533
32,0.7019142508506775
33,0.4981635510921478
34,0.41675129532814026
35,0.5828928351402283
36,0.6710838079452515
37,0.5592784881591797
38,0.5056002140045166
39,0.6815553307533264
40,0.5829377770423889
41,0.6238692998886108
42,0.42779985070228577
43,0.6002665758132935
44,0.4808974862098694
45,0.40351882576942444
46,0.5095559358596802
47,0.49645352363586426
48,0.3734113276004791
49,0.7130529880523682
50,0.5035572648048401
51,0.5483684539794922
52,0.5251271724700928
53,0.7310559749603271
54,0.41004234552383423
55,0.4826851785182953
56,0.6113989353179932
57,0.5218327045440674
58,0.7343041300773621
59,0.5489848852157593
60,0.3779616951942444
61,0.4476996958255768
62,0.37392598390579224
63,0.7106220126152039
64,0.6513519287109375
65,0.5433002710342407
66,0.5219041705131531
67,0.2759004533290863
68,0.5974966287612915
69,0.4376251697540283
70,0.5873143672943115
71,0.5268168449401855
72,0.4175024628639221
73,0.484235942363739
74,0.6231809854507446
75,0.5869701504707336
76,0.6798714399337769
77,0.5720911622047424
78,0.37685009837150574
79,0.5196235179901123
80,0.4763297140598297
81,0.4302423894405365
82,0.6510242223739624
83,0.5069777369499207
84,0.5336458086967468
85,0.6399645209312439
86,0.38989585638046265
87,0.5310324430465698
88,0.44999080896377563
89,0.4328147768974304
90,0.6977131962776184
91,0.5332924127578735
92,0.5331289172172546
93,0.5639358758926392
94,0.5212967991828918
95,0.4877598285675049
96,0.5788887143135071
97,0.5669383406639099
98,0.6733946800231934
99,0.7075862288475037
100,0.4441540241241455
101,0.6315981149673462
102,0.5849186778068542
103,0.5477456450462341
104,0.4901605248451233
105,0.5936751365661621
106,0.6845887303352356
107,0.48208045959472656
108,0.6291729807853699
109,0.3837219774723053
110,0.5196982026100159
111,0.5695390701293945
112,0.6557720899581909
113,0.5190587043762207
114,0.5230005383491516
115,0.4963347017765045
116,0.49067822098731995
117,0.4561762809753418
118,0.40624675154685974
119,0.7392042875289917
120,0.5530956983566284
121,0.587995171546936
122,0.4989781975746155
123,0.6796071529388428
124,0.4942420423030853
125,0.5158616900444031
126,0.5548142790794373
127,0.584484338760376
128,0.5291807651519775
129,0.5710465312004089
130,0.6463643312454224
131,0.41500306129455566
132,0.4506259858608246
133,0.5391202569007874
134,0.4081001281738281
135,0.6519766449928284
136,0.6400672793388367
137,0.5467454791069031
138,0.5537917613983154
139,0.37119895219802856
140,0.6341406106948853
141,0.48974403738975525
